time, lat, lon, pm10
010/05/10T17:59:38,51.539906,-0.091864,14.4
010/05/10T17:59:44,51.539833,-0.091763,10.5
010/05/10T17:59:55,51.539716,-0.091583,10.5
010/05/10T18:00:06,51.539609,-0.091431,14.9
010/05/10T18:00:14,51.539539,-0.091314,9.3
010/05/10T18:00:22,51.539477,-0.091169,9.3
010/05/10T18:00:28,51.539419,-0.091078,9.3
010/05/10T18:00:33,51.539351,-0.090980,11.3
010/05/10T18:00:41,51.539271,-0.090900,11.3
010/05/10T18:00:42,51.539263,-0.090894,11.3
010/05/10T18:00:50,51.539171,-0.090804,11.1
010/05/10T18:00:57,51.539086,-0.090735,11.1
010/05/10T18:01:10,51.538965,-0.090561,5.4
010/05/10T18:01:16,51.538908,-0.090417,9.4
010/05/10T18:01:23,51.538849,-0.090257,9.4
010/05/10T18:01:28,51.538791,-0.090134,9.4
010/05/10T18:01:38,51.538686,-0.089921,7.4
010/05/10T18:01:45,51.538615,-0.089754,12.2
010/05/10T18:01:55,51.538533,-0.089626,12.2
010/05/10T18:02:02,51.538454,-0.089536,8.1
010/05/10T18:02:12,51.538359,-0.089440,8.1
010/05/10T18:02:21,51.538277,-0.089360,11.1
010/05/10T18:02:29,51.538182,-0.089264,11
010/05/10T18:02:35,51.538103,-0.089151,11
010/05/10T18:02:41,51.538016,-0.089006,11
010/05/10T18:02:48,51.537919,-0.088841,15.2
010/05/10T18:02:53,51.537845,-0.088705,15.2
010/05/10T18:03:01,51.537780,-0.088530,15.3
010/05/10T18:03:09,51.537726,-0.088348,15.3
010/05/10T18:03:16,51.537719,-0.088271,9.5
010/05/10T18:03:27,51.537675,-0.088082,9.5
010/05/10T18:03:36,51.537645,-0.087895,9.6
010/05/10T18:03:44,51.537618,-0.087739,8.4
010/05/10T18:03:51,51.537596,-0.087562,8.4
010/05/10T18:03:55,51.537573,-0.087421,8.4
010/05/10T18:04:03,51.537528,-0.087163,13.1
010/05/10T18:04:09,51.537494,-0.087001,13.1
010/05/10T18:04:16,51.537432,-0.086814,10.8
010/05/10T18:04:23,51.537348,-0.086740,10.8
010/05/10T18:04:27,51.537331,-0.086732,10.8
010/05/10T18:04:35,51.537243,-0.086692,17.9
010/05/10T18:04:45,51.537232,-0.086548,11.7
010/05/10T18:04:57,51.537100,-0.086407,11.7
010/05/10T18:05:04,51.536994,-0.086362,14.1
010/05/10T18:05:10,51.536897,-0.086345,14.1
010/05/10T18:05:16,51.536804,-0.086367,15.2
010/05/10T18:05:23,51.536669,-0.086399,15.2
010/05/10T18:05:28,51.536577,-0.086413,15.2
010/05/10T18:05:35,51.536481,-0.086430,11.8
010/05/10T18:05:46,51.536348,-0.086446,9.5
010/05/10T18:05:57,51.536255,-0.086395,9.5
010/05/10T18:06:03,51.536172,-0.086275,16.9
010/05/10T18:06:10,51.536103,-0.086154,16.9
010/05/10T18:06:17,51.536065,-0.086013,14.2
010/05/10T18:06:24,51.536061,-0.085862,14.2
010/05/10T18:06:36,51.536076,-0.085619,11
010/05/10T18:06:42,51.536067,-0.085465,11
010/05/10T18:06:48,51.536052,-0.085297,11.7
010/05/10T18:06:53,51.536039,-0.085152,11.7
010/05/10T18:06:59,51.536040,-0.085001,13.7
010/05/10T18:07:03,51.536041,-0.084942,13.7
010/05/10T18:07:14,51.536035,-0.084794,16.5
010/05/10T18:07:23,51.536037,-0.084630,16.5
010/05/10T18:07:28,51.536068,-0.084472,16.5
010/05/10T18:07:35,51.536094,-0.084243,6.1
010/05/10T18:07:40,51.536093,-0.084096,6.1
010/05/10T18:07:48,51.536064,-0.083911,19.7
010/05/10T18:07:55,51.536024,-0.083764,19.7
010/05/10T18:08:01,51.535982,-0.083635,22.8
010/05/10T18:08:08,51.535929,-0.083477,22.8
010/05/10T18:08:18,51.535879,-0.083349,11.1
010/05/10T18:08:29,51.535798,-0.083181,12.7
010/05/10T18:08:37,51.535741,-0.083039,12.7
010/05/10T18:08:40,51.535741,-0.083039,12.7
010/05/10T18:08:56,51.535623,-0.082782,11.8
010/05/10T18:08:58,51.535623,-0.082782,11.8
010/05/10T18:08:59,51.535548,-0.082698,17
010/05/10T18:09:04,51.535466,-0.082613,17
010/05/10T18:09:08,51.535388,-0.082535,17
010/05/10T18:09:25,51.535246,-0.082419,20.6
010/05/10T18:09:35,51.535240,-0.082415,14.1
