time, lat, lon, total
010/05/10T17:59:55,51.539716,-0.091583,26.4
010/05/10T18:00:06,51.539609,-0.091431,41.1
010/05/10T18:00:14,51.539539,-0.091314,44.9
010/05/10T18:00:22,51.539477,-0.091169,44.9
010/05/10T18:00:28,51.539419,-0.091078,44.9
010/05/10T18:00:33,51.539351,-0.090980,17.9
010/05/10T18:00:41,51.539271,-0.090900,17.9
010/05/10T18:00:42,51.539263,-0.090894,17.9
010/05/10T18:00:50,51.539171,-0.090804,55.8
010/05/10T18:00:57,51.539086,-0.090735,55.8
010/05/10T18:01:10,51.538965,-0.090561,18.8
010/05/10T18:01:16,51.538908,-0.090417,26.7
010/05/10T18:01:23,51.538849,-0.090257,26.7
010/05/10T18:01:28,51.538791,-0.090134,26.7
010/05/10T18:01:38,51.538686,-0.089921,45.7
010/05/10T18:01:45,51.538615,-0.089754,52.4
010/05/10T18:01:55,51.538533,-0.089626,52.4
010/05/10T18:02:02,51.538454,-0.089536,22.9
010/05/10T18:02:12,51.538359,-0.089440,22.9
010/05/10T18:02:21,51.538277,-0.089360,44.1
010/05/10T18:02:29,51.538182,-0.089264,72.5
010/05/10T18:02:35,51.538103,-0.089151,72.5
010/05/10T18:02:41,51.538016,-0.089006,72.5
010/05/10T18:02:48,51.537919,-0.088841,29
010/05/10T18:02:53,51.537845,-0.088705,29
010/05/10T18:03:01,51.537780,-0.088530,20.1
010/05/10T18:03:09,51.537726,-0.088348,20.1
010/05/10T18:03:16,51.537719,-0.088271,24.5
010/05/10T18:03:27,51.537675,-0.088082,24.5
010/05/10T18:03:36,51.537645,-0.087895,12.8
010/05/10T18:03:44,51.537618,-0.087739,22.2
010/05/10T18:03:51,51.537596,-0.087562,22.2
010/05/10T18:03:55,51.537573,-0.087421,22.2
010/05/10T18:04:03,51.537528,-0.087163,15.6
010/05/10T18:04:09,51.537494,-0.087001,15.6
010/05/10T18:04:16,51.537432,-0.086814,40.4
010/05/10T18:04:23,51.537348,-0.086740,40.4
010/05/10T18:04:27,51.537331,-0.086732,40.4
010/05/10T18:04:35,51.537243,-0.086692,39.6
010/05/10T18:04:45,51.537232,-0.086548,17.1
010/05/10T18:04:57,51.537100,-0.086407,17.1
010/05/10T18:05:04,51.536994,-0.086362,46.1
