TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,09:24:36,39,24.3,6.99,1.72, , , 
10/05/2010,09:24:51,61.8,41.4,9.81,2.25, , , 
10/05/2010,09:25:06,53.1,34.3,6.24,1.3, , , 
10/05/2010,09:25:21,37.8,28.6,5.38,1.21, , , 
10/05/2010,09:25:36,36.4,25.7,6.73,1.17, , , 
10/05/2010,09:25:51,126.3,42.3,8.13,1.39, , , 
10/05/2010,09:26:06,80.4,28.9,7.71,1.41, , , 
10/05/2010,09:26:21,25.7,21.8,6.94,1.24, , , 
10/05/2010,09:26:36,29.1,23.1,6.69,1.2, , , 
10/05/2010,09:26:51,77.5,28.4,7.57,1.46, , , 
10/05/2010,09:27:06,110.7,39.5,7.72,1.26, , , 
10/05/2010,09:27:21,81.8,27.6,7.23,1.28, , , 
10/05/2010,09:27:36,56.9,31.9,7.18,1.35, , , 
10/05/2010,09:27:51,29.8,22.8,6.06,1.22, , , 
10/05/2010,09:28:06,90.8,33,6.11,1.27, , , 
10/05/2010,09:28:21,15.2,14.1,6.44,1.24, , , 
10/05/2010,09:28:36,34.2,18.1,5.64,1.09, , , 
10/05/2010,09:28:51,33.1,24.5,5.98,1.08, , , 
10/05/2010,09:29:06,27.9,23.7,6.02,1.21, , , 
10/05/2010,09:29:21,35.9,27.5,4.98,1, , , 
10/05/2010,09:29:36,38.8,21.4,5.29,1.1, , , 
10/05/2010,09:29:51,32.1,26,5.09,.97, , , 
10/05/2010,09:30:06,48.5,27.4,6.05,.97, , , 
10/05/2010,09:30:21,28.6,23.8,5.54,.94, , , 
10/05/2010,09:30:36,28.7,14.1,5.34,.99, , , 
10/05/2010,09:30:51,44,27.9,5.05,1.03, , , 
10/05/2010,09:31:06,33.2,16.7,5.79,1.04, , , 
10/05/2010,09:31:21,66.3,31.3,10.09,2.89, , , 
10/05/2010,09:31:36,50.7,29.3,8.2,1.93, , , 
10/05/2010,09:31:51,20.5,18.3,5.49,.9, , , 
10/05/2010,09:32:06,79.7,28.3,5.22,.82, , , 
10/05/2010,09:32:21,67.1,24.7,4.75,1.12, , , 
10/05/2010,09:32:36,30,18.3,6.54,1.04, , , 
10/05/2010,09:32:51,41.6,23.9,6.83,1.45, , , 
10/05/2010,09:33:06,26.2,20.3,6.81,1.39, , , 
10/05/2010,09:33:21,42.3,27.1,5.83,1.05, , , 
10/05/2010,09:33:36,25.1,21.4,6.76,1.26, , , 
10/05/2010,09:33:51,126.7,36.6,7.48,1.42, , , 
10/05/2010,09:34:06,66.7,30.8,6.79,1.18, , , 
10/05/2010,09:34:21,118.9,36.7,7.46,1.36, , , 
10/05/2010,09:34:36,76.1,42.5,6.85,1.25, , , 
10/05/2010,09:34:51,96.2,43.4,7.02,1.3, , , 
10/05/2010,09:35:06,190.4,60.3,7.73,1.37, , , 
10/05/2010,09:35:21,87.9,44.3,7.75,1.47, , , 
10/05/2010,09:35:36,100.1,41.1,7.57,1.58, , , 
10/05/2010,09:35:51,82.7,45.8,8.58,1.48, , , 
10/05/2010,09:36:06,171.3,58.9,8.21,1.37, , , 
10/05/2010,09:36:21,206.1,60.3,9.2,1.57, , , 
10/05/2010,09:36:36,24.9,21,5.52,1.08, , , 
10/05/2010,09:36:51,65.7,35.9,6.69,1.33, , , 
10/05/2010,09:37:06,28.9,17.7,6.22,1.19, , , 
10/05/2010,09:37:21,33.7,26.1,5.61,1.06, , , 
10/05/2010,09:37:36,32.4,26.2,4.93,.99, , , 
10/05/2010,09:37:51,56.6,32.3,9.22,2.29, , , 
10/05/2010,09:38:06,42.7,25.4,6.67,1.55, , , 
10/05/2010,09:38:21,66.2,29.8,6.94,1.26, , , 
10/05/2010,09:38:36,56.3,34.2,7.19,1.54, , , 
10/05/2010,09:38:51,61.1,28.4,6.43,1.13, , , 
10/05/2010,09:39:06,42.5,25.9,6.4,1.18, , , 
10/05/2010,09:39:21,44.3,25.8,7.2,1.28, , , 
10/05/2010,09:39:36,29,20.1,6.66,1.66, , , 
10/05/2010,09:39:51,53.7,26.1,6.05,1.32, , , 
10/05/2010,09:40:06,30.6,22.9,7.72,1.62, , , 
10/05/2010,09:40:21,45.2,25.2,5.52,1.28, , , 
10/05/2010,09:40:36,128.2,44,7.03,1.38, , , 
10/05/2010,09:40:51,55.2,34.2,6.25,1.35, , , 
10/05/2010,09:41:06,74.3,42.4,7.3,1.56, , , 
10/05/2010,09:41:21,56.5,26.7,5.9,1.33, , , 
10/05/2010,09:41:36,132.3,41.5,6.89,1.39, , , 
10/05/2010,09:41:51,74.2,35.9,8.23,1.9, , , 
10/05/2010,09:42:06,52.2,35.3,6.92,1.53, , , 
10/05/2010,09:42:21,44.7,26.3,6.58,1.28, , , 
10/05/2010,09:42:36,52.7,25.5,5.2,1.17, , , 
10/05/2010,09:42:51,53.6,29.8,6.42,1.17, , , 
10/05/2010,09:43:06,54.7,28.9,6.06,1.24, , , 
10/05/2010,09:43:21,45.9,26.5,6.16,1.33, , , 
10/05/2010,09:43:36,37.8,28.5,6.2,1.5, , , 
10/05/2010,09:43:51,127.7,53.7,10.34,2.08, , , 
10/05/2010,09:44:06,67.1,32.5,7.32,1.47, , , 
